"","Group","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","avg.error","in.group","sex"
"1","A",14,-6,5,19,0,-5,-9,-1,-7,-7,"7.3","3","F"
"2","B",8,0,5,0,5,-1,-8,-1,-8,0,"3.7","4","F"
"3","C",6,-5,6,3,1,-8,-18,1,-9,-6,"6.1","4","M"
"4","D",10,-7,3,3,2,-2,-13,6,-7,-7,"6.0","2","M/F"
"5","E",11,-3,4,2,-1,0,-17,0,-14,3,"5.5","2","F"
"6","F",13,-3,3,5,-2,-8,-9,-1,-7,0,"5.1","3","F"
"7","G",9,-4,3,0,4,-13,-15,6,-7,5,"6.6","4","M"
"8","H",11,0,2,8,3,3,-15,1,-7,0,"5.0","4","M"
"9","I",6,-2,2,8,3,-8,-7,-1,1,-2,"4.0","4","F"
"10","J",11,2,3,11,1,-8,-14,-2,-1,0,"5.3","4","F"
"11","True age",29,30,14,42,37,57,73,24,82,45,"NA","NA",NA
