Date NumberKilled NumberInjured TotalCasualties ResponsibleHamas ResponsibleisMartyrs ResponsibleisPIJ ResponsibleisOther TargetisMilitary TargetisCivilian TargetisBus TargetisCafe TargetisCheckpoint TargetisResidence TargetisOffshore TargetisStore TargetisStreet TargetisTravelstop DeviceisCar DeviceisBoat AttackisPrevented AttackerisChallenged AgeofFirstAttacker FirstAttackerisMale FirstAttackerisFemale
3-Nov-03 0 0 0 0 1 0 0 NA NA 0 0 0 0 0 0 1 0 0 0 0 1 17 1 0
9-Oct-03 0 3 3 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 18 1 0
4-Oct-03 21 60 81 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 29 0 1
8-Sep-03 8 30 38 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 22 1 0
8-Sep-03 9 20 29 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 19 1 0
19-Aug-03 24 102 126 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 29 1 0
12-Aug-03 2 4 6 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 17 1 0
12-Aug-03 1 9 10 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 17 1 0
7-Jul-03 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 NA NA NA
19-Jun-03 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 20 1 0
11-Jun-03 17 50 67 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 18 1 0
19-May-03 3 47 50 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 19 0 1
19-May-03 0 3 3 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 20 1 0
18-May-03 7 20 27 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 18 1 0
18-May-03 0 0 0 1 0 0 0 NA NA 0 0 1 0 0 0 0 0 0 0 0 0 19 1 0
17-May-03 2 0 2 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 21 1 0
8-May-03 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 NA 1 0
30-Apr-03 3 60 63 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 21 1 0
24-Apr-03 1 14 15 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 18 1 0
30-Mar-03 0 58 58 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 19 1 0
5-Mar-03 17 40 57 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 20 1 0
