SUBSIDIZED.LUNCH PTRATIO READING.ABOVE.50
1 34.397299903568 21.7102488401518 58
2 NA 20.4427792915531 77
3 32.6432354357246 18.9541918755402 NA
4 11.9095333524191 21.6353887399464 NA
5 NA NA 24
6 20.9314901814986 NA NA
7 53.2689776217639 22.2127790292853 36
8 15.1900897052542 24.5902624724504 64
9 NA 21.7413793103448 42
10 32.7789739401589 NA NA
11 NA NA 28
12 NA 18.5118219749652 NA
13 28.1211115719618 21.8984351933865 NA
14 36.9904684648144 NA 46
15 12.927964941112 20.6833333333333 69
16 4.70089495996232 24.6510600706714 83
17 20.2597946783993 24.8229166666667 66
18 NA NA NA
19 33.1292320991212 NA NA
20 29.3929712460064 NA NA
21 52.9931305201178 20.411361410382 42
22 35.0883585352523 21.9194683346364 55
23 NA 24.8691767708998 56
24 54.2682926829268 NA 40
25 65.8239700374532 19.5254833040422 NA
26 78.5407725321888 21.1231101511879 11
27 30.0755277257763 NA NA
28 28.246013667426 22.1837944664032 NA
29 22.3337515683814 21.7433155080214 NA
30 22.6246525611209 22.1416213544241 62
31 51.7849321068769 22.8729963008631 37
32 51.2384774565749 NA NA
33 1.89532160557704 NA 87
34 42.5114329268293 NA 53
35 45.4234388366125 NA 51
36 30.1696469509399 21.4729458917836 70
37 NA 22.7051671732523 69
38 NA 24.4786015672092 NA
39 NA 21.0700389105058 34
40 62.0197740112994 22.2597299444003 NA
41 35.6033874382498 21.1443530291698 56
42 NA 22.2565194252262 29
43 72.9166666666667 18.2365145228216 19
44 91.604841858649 NA 14
45 57.0024891916678 21.7115330121848 36
46 69.6452036793693 NA 40
47 87.8371750858264 20.4905660377359 18
48 49.2508395763369 22.5917372337696 38
49 69.4980694980695 22.1542383683875 32
50 87.7772534214252 NA 9
51 86.545988258317 21.7211328976035 NA
52 21.604680317593 NA NA
53 64.8507462686567 21.4887218045113 36
54 53.125 NA NA
55 44.9746621621622 NA 42
56 76.3212079615649 NA 41
57 NA NA NA
58 11.7161716171617 NA 68
59 54.2566709021601 NA 28
60 43.954818017013 NA NA
61 NA 20.625 NA
62 62.1000820344545 23.3213859020311 NA
63 63.9180409795103 NA 26
64 39.9445214979196 20.8568738229755 37
