Assay_Type_s	AssemblyName_s	BioSample_s	Consent_s	InsertSize_l	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	analyte_type_s	body_site_s	gap_consent_code_s	gap_sample_id_s	gap_subject_id_s	histological_type_s	is_tumor_s	molecular_data_type_s	sex_s	submitted_sample_id_s	submitted_subject_id_s	BioProject_s	BioSampleModel_s	Center_Name_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	gap_accession_s	source_s	study_design_s	study_name_s	submitter_handle_s
RNA-Seq	HG19_Broad_variant	SAMN00992472	GRU	174	Solexa-85104	8956	4934	SRR595926	SRS332984	GTEX-N7MS-0011-R10A-SM-2HMJK	RNA:Total RNA	Brain - Frontal Cortex (BA9)	1	735806	590920	Brain	No	RNA Expression (NGS)	male	GTEX-N7MS-0011-R10A-SM-2HMJK	GTEX-N7MS	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992543	GRU	169	Solexa-85436	7776	4061	SRR597927	SRS333055	GTEX-NL3H-0011-R6a-SM-2I3G8	RNA:Total RNA	Brain - Nucleus accumbens (basal ganglia)	1	735889	590923	Brain	No	RNA Expression (NGS)	male	GTEX-NL3H-0011-R6a-SM-2I3G8	GTEX-NL3H	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992596	GRU	178	Solexa-85425	6474	3413	SRR597952	SRS333108	GTEX-OOBJ-2626-SM-2I3F6	RNA:Total RNA	Thyroid	1	736104	590937	Thyroid	No	RNA Expression (NGS)	male	GTEX-OOBJ-2626-SM-2I3F6	GTEX-OOBJ	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992853	GRU	163	Solexa-86307	9589	5610	SRR597977	SRS333365	GTEX-NL4W-0011-R2a-SM-2I5GV	RNA:Total RNA	Brain - Substantia nigra	1	735901	590924	Brain	No	RNA Expression (NGS)	male	GTEX-NL4W-0011-R2a-SM-2I5GV	GTEX-NL4W	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993045	GRU	176	Solexa-86365	10375	6023	SRR598009	SRS333557	GTEX-PWO3-1026-SM-2I5F2	RNA:Total RNA	Brain - Cerebellum	1	736342	590959	Brain	No	RNA Expression (NGS)	female	GTEX-PWO3-1026-SM-2I5F2	GTEX-PWO3	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992785	GRU	265	Solexa-74471	6156	2972	SRR598042	SRS333297	K-562-SM-2D7VW	RNA:Total RNA	Cells - Leukemia cell line (CML)	1	736507	590982	Bone Marrow	Yes	RNA Expression (NGS)	female	K-562-SM-2D7VW	K-562	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992878	GRU	204	Solexa-85102	8500	4655	SRR598044	SRS333390	GTEX-NFK9-0626-SM-2HMIV	RNA:Total RNA	Muscle - Skeletal	1	735864	590922	Muscle	No	RNA Expression (NGS)	male	GTEX-NFK9-0626-SM-2HMIV	GTEX-NFK9	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992588	GRU	196	Solexa-86369	12100	6974	SRR598068	SRS333100	GTEX-QEG5-0826-SM-2I5GF	RNA:Total RNA	Thyroid	1	736464	590970	Thyroid	No	RNA Expression (NGS)	male	GTEX-QEG5-0826-SM-2I5GF	GTEX-QEG5	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992756	GRU	182	Solexa-85363	7868	4129	SRR598100	SRS333268	GTEX-P4QT-2626-SM-2I3FM	RNA:Total RNA	Thyroid	1	736257	590949	Thyroid	No	RNA Expression (NGS)	female	GTEX-P4QT-2626-SM-2I3FM	GTEX-P4QT	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992418	GRU	175	Solexa-85148	8060	4560	SRR598124	SRS332930	GTEX-NPJ8-0011-R4a-SM-2HML3	RNA:Total RNA	Brain - Amygdala	1	735944	590926	Brain	No	RNA Expression (NGS)	male	GTEX-NPJ8-0011-R4a-SM-2HML3	GTEX-NPJ8	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
