"sample" "signature_1" "signature_2" "signature_3" "signature_4" "signature_5"
"SRR1068687" 0 0 0 1.83240098904477e-52 1
"SRR1068788" 0 0 0 0 1
"SRR1068808" 1.11022302462516e-16 0 0 0.170505343061642 0.829494656938358
"SRR1068832" 0 0 0.167542283353129 0.732671248870835 0.0997864677760366
"SRR1068855" 0 0 0 0 1
"SRR1068880" 0 0.356012570886862 0 0.322183596898704 0.321803832214434
"SRR1068905" 0 0 0 1 0
"SRR1068929" 0 0 0 1 0
"SRR1068953" 0 0 0 0 1
"SRR1068999" 0.168436872957015 0.231158322232121 0 0.205423737947405 0.394981066863458
"SRR1069097" 0 0 0 1 0
"SRR1069121" 0 0.0857337502872276 0 0.357590460012007 0.556675789700766
"SRR1069188" 0 0 0 1 3.2980025382889e-192
"SRR1069209" 0 0 0 0.107336761070499 0.892663238929501
"SRR1069231" 0 0 0 0.956554237524264 0.0434457624757356
"SRR1069255" 0.0536491663256524 0 0.105283714226614 0.444011435878962 0.397055683568771
"SRR1069303" 0 0 0 0.637295078879577 0.362704921120423
"SRR1069328" 0 0 0 3.13124717686995e-198 1
"SRR1069352" 0 9.41296822402037e-151 0 1 0
"SRR1069421" 1.11022302462516e-16 0.124688973550279 0 0.407946538867234 0.467364487582487
"SRR1069445" 0 0 0 0 1
"SRR1069466" 0 0 0 0 1
"SRR1069490" 0 0.250351653613528 0 0.121016552011389 0.628631794375083
"SRR1069514" 0.316778770021001 0.351163633380576 0 0 0.332057596598423
"SRR1069539" 0 0 0 0.702424860349442 0.297575139650558
"SRR1069564" 0 0.248880206777866 0 0.383559328769695 0.36756046445244
"SRR1069590" 1.11022302462516e-16 0.333333333333333 0 0 0.666666666666667
"SRR1069614" 0 0 0 0 1
"SRR1069638" 0 2.3817173016864e-116 0.313855993968174 0.686144006031826 0
"SRR1069666" 0 0.265666834592226 0 0.414246982493458 0.320086182914316
"SRR1069690" 0 0 0 1 0
"SRR1069714" 0 0 0 0 1
